title,0
The Three Stooges,0
The General,1
The Best Years of Our Lives,2
His Girl Friday,3
In a Lonely Place,4
Stagecoach,5
It's a Wonderful Life,6
Detour,7
My Man Godfrey,8
Marihuana,9
Intolerance: Love's Struggle Throughout the Ages,10
The Stranger,11
The Phantom of the Opera,12
Tell Your Children,13
The Most Dangerous Game,14
Wuthering Heights,15
The Woman in the Window,16
"Steamboat Bill, Jr.",17
The Little Foxes,18
Stella Dallas,19
Dodsworth,20
Sands of Iwo Jima,21
The Pride of the Yankees,22
Things to Come,23
Cyrano de Bergerac,24
Scarlet Street,25
Made for Each Other,26
The Thief of Bagdad,27
D.O.A.,28
Jungle Book,29
Love Affair,30
The Bishop's Wife,31
Of Human Bondage,32
Our Town,33
The Little Princess,34
The Jackie Robinson Story,35
The Secret Life of Walter Mitty,36
The Strange Love of Martha Ivers,37
Flying Tigers,38
Lady Windermere's Fan,39
Dead End,40
Meet John Doe,41
The Outlaw,42
The Front Page,43
White Zombie,44
Bird of Paradise,45
The Lost World,46
49th Parallel,47
The Private Life of Henry VIII,48
The Southerner,49
Hangmen Also Die!,50
A Farewell to Arms,51
The Scarlet Letter,52
The Hunchback of Notre Dame,53
Tabu,54
The Big Lift,55
Why We Fight: Prelude to War,56
The Fighting Kentuckian,57
Santa Fe Trail,58
Dick Tracy,59
Woman on the Run,60
Life with Father,61
Nothing Sacred,62
Penny Serenade,63
He Walked by Night,64
Algiers,65
Louisiana Story,66
Jack London,67
Broken Blossoms,68
Dr. Jekyll and Mr. Hyde,69
The Pleasure Garden,70
Too Late for Tears,71
Trapped,72
Mother,73
Orphans of the Storm,74
Let There Be Light,75
The Red House,76
Robin Hood,77
The Hurricane,78
Payoff in the Pacific,79
The Memphis Belle: A Story of a Flying Fortress,80
The Cat and the Canary,81
These Three,82
Smash-Up: The Story of a Woman,83
Submarine Warfare,84
Impact,85
The Amazing Mr. X,86
The Green Hornet,87
College,88
The Devil Bat,89
A Song Is Born,90
What's My Line?,91
The Headless Horseman,92
Sherlock Holmes and the Secret Weapon,93
The Kennel Murder Case,94
The Woman in Green,95
Wonder Man,96
At War with the Army,97
Fear in the Night,98
San Pietro,99
Becky Sharp,100
Gulliver's Travels,101
The Inspector General,102
The Vampire Bat,103
Svengali,104
Pot o' Gold,105
My Favorite Brunette,106
Within Our Gates,107
Way Down East,108
Ghosts on the Loose,109
My Foolish Heart,110
Terror by Night,111
Till the Clouds Roll By,112
King of the Zombies,113
Our Daily Bread,114
Judge Priest,115
Angel and the Badman,116
That Uncertain Feeling,117
The Emperor Jones,118
The Mad Monster,119
The North Star,120
Revolt of the Zombies,121
Tulsa,122
Africa Screams,123
Bluebeard,124
Captain Kidd,125
Nazi Concentration Camps,126
A Fool There Was,127
Come and Get It,128
Tarzan of the Apes,129
Riders of the Whistling Pines,130
The Woman of the Town,131
Bowery at Midnight,132
Dressed to Kill,133
Little Lord Fauntleroy,134
The Last of the Mohicans,135
Sex,136
The Iron Mask,137
The Black Pirate,138
Air Eagles,139
Enchantment,140
Spooks Run Wild,141
"Swing High, Swing Low",142
Scared to Death,143
Alice in Wonderland,144
The Animal Kingdom,145
Glorifying the American Girl,146
Lady of Burlesque,147
Tarzan the Fearless,148
The Gorilla,149
Why We Fight: The Nazis Strike,150
Gung Ho!,151
Hop-a-long Cassidy,152
The Cheat,153
Three Came Home,154
Yellowstone,155
Blue Steel,156
Nancy Drew... Reporter,157
One Body Too Many,158
Sparrows,159
Hollow Triumph,160
Dishonored Lady,161
The Second Woman,162
Topper Returns,163
Quicksand,164
The Death Kiss,165
The Ape Man,166
The Amazing Quest of Ernest Bliss,167
The Great Rupert,168
They Made Me a Criminal,169
Midnight,170
The Great Flamarion,171
The Driftin' Kid,172
The Return Of Chandu,173
Suicide Squad,174
Stage Door Canteen,175
The Corpse Vanishes,176
Black Dragons,177
The Gang's All Here,178
Beyond Tomorrow,179
A Florida Enchantment,180
The Babe Ruth Story,181
Why We Fight: The Battle of Russia,182
Bulldog Drummond,183
The Eagle,184
Whistle Stop,185
Eyes of Texas,186
'Neath the Arizona Skies,187
Millie,188
Target for Tonight,189
The Capture,190
Attack in the Pacific,191
Under California Stars,192
Report from the Aleutians,193
The Marriage Circle,194
Loaded Pistols,195
Scrooge,196
Hoosier Schoolboy,197
Invisible Ghost,198
Li'l Abner,199
The Crystal Ball,200
Hearts of the World,201
Blind Husbands,202
"Salome, Where She Danced",203
Tom Brown's School Days,204
Chandu on the Magic Island,205
Not Wanted,206
Billy The Kid Returns,207
Blonde Ice,208
Robin Hood of the Pecos,209
High Lonesome,210
Angel on My Shoulder,211
The Princess and the Pirate,212
The Stolen Jools,213
City Without Men,214
Up in Arms,215
The Terror of Tiny Town,216
"$50,000 Reward",217
Sagebrush Trail,218
Murder by Television,219
A Shriek in the Night,220
The Milky Way,221
The Monster Walks,222
Raffles,223
Oliver Twist,224
The New Adventures of Tarzan,225
Lumberjack,226
Little Annie Rooney,227
The Patchwork Girl of Oz,228
The Ghost Walks,229
The Strange Woman,230
Jivin' in Bebop,231
Blood on the Sun,232
The Perils of Pauline,233
Happy Go Lucky,234
The Big Cat,235
Squadron of Doom,236
"Parlor, Bedroom and Bath",237
23 1/2 Hours Leave,238
The Pace That Kills,239
Dirty Gertie from Harlem U.S.A.,240
Fog Island,241
The Flying Deuces,242
True Heart Susie,243
Big News,244
Mr. Robinson Crusoe,245
The Painted Desert,246
Secret of the Wastelands,247
Blockade,248
Two Weeks to Live,249
Randy Rides Alone,250
Abilene Town,251
Port of New York,252
God's Step Children,253
Broadway to Cheyenne,254
One Exciting Night,255
Apology for Murder,256
Hi Diddle Diddle,257
Wild Weed,258
Love Laughs at Andy Hardy,259
The Fabulous Dorseys,260
The Hoosier Schoolmaster,261
Man With Two Lives,262
I Cover the Waterfront,263
The Desert Trail,264
Marie Galante,265
The Dawn Rider,266
The Admiral Was a Lady,267
White Pongo,268
The Rage of Paris,269
Why We Fight: The Battle of China,270
Never Fear,271
The Man Who Cheated Himself,272
Lucky Ghost,273
Redhead,274
Rocky Mountain Mystery,275
Rough Riders' Round-up,276
Fighting Mustang,277
Outpost in Morocco,278
The Sundowners,279
Rogue of the Range,280
Bill and Coo,281
Edge of Doom,282
Saleslady,283
The Cowboy and the Lady,284
The Sea Ghost,285
'Neath Canadian Skies,286
The Greeks Had a Word for Them,287
Mr. Wise Guy,288
Rawhide,289
Discarded Lovers,290
Tarzan's Revenge,291
Sabapathy,292
Condemned to Live,293
Calendar Girl,294
The Fabulous Joe,295
Outlaws of the Desert,296
The Wedding Night,297
Why We Fight: War Comes to America,298
Speak Easily,299
Mr. Bug Goes to Town,300
One Rainy Afternoon,301
Wide Open Town,302
Joan the Woman,303
My Pal Trigger,304
Indiscreet,305
The Son of Monte Cristo,306
Winterset,307
Border Patrol,308
'Neath Brooklyn Bridge,309
"Fanchon, the Cricket",310
Ghost Town,311
"Mr. Wong, Detective",312
Something to Sing About,313
Borderline,314
Mickey,315
Nurse Edith Cavell,316
Eternally Yours,317
This Is the Army,318
The Lucky Texan,319
Irish Luck,320
Ghost Patrol,321
Forbidden Jungle,322
Dark Alibi,323
"Sing, Sinner, Sing",324
Tanks a Million,325
Call of the Forest,326
Wagon Wheels,327
High School Girl,328
The Blood of Jesus,329
Vigilantes of Boomtown,330
Arrest Bulldog Drummond,331
Desert Gold,332
Phantom Killer,333
Guest in the House,334
Doll Face,335
Second Chorus,336
Niagara Falls,337
Saga of Death Valley,338
Sundown,339
Riders of Destiny,340
The Miracle Kid,341
The Adventures of Tartu,342
The Medicine Man,343
Let's Sing Again,344
A Study in Scarlet,345
That Gang of Mine,346
Nomads of the North,347
Dark Mountain,348
A Night at the Follies,349
Reaching for the Moon,350
Private Snuffy Smith,351
Hay Foot,352
The Star Packer,353
The Kid from Brooklyn,354
Under Western Stars,355
Fighting Mad,356
Hearts of Humanity,357
The Kansan,358
Bells of San Angelo,359
Dick Tracy Meets Gruesome,360
"Dance, Girl, Dance",361
Springtime in the Rockies,362
Riders of the Deadline,363
The Bold Caballero,364
Rhythm in the Clouds,365
British Intelligence,366
Tarzan and the Green Goddess,367
Western Mail,368
Man from Music Mountain,369
When's Your Birthday?,370
Monte Carlo Nights,371
To the Shores of Iwo Jima,372
Submarine Alert,373
Leather Burners,374
Delightfully Dangerous,375
Renfrew of the Royal Mounted,376
American Empire,377
My Dear Secretary,378
D-Day: The Normandy Invasion,379
Money Madness,380
Flying Blind,381
Sunny,382
Don Q Son of Zorro,383
The Fatal Hour,384
I Met My Love Again,385
The Devil to Pay!,386
Pride of the Bowery,387
Wildfire,388
The Silent Enemy,389
Bulldog Drummond's Bride,390
Meet the Boy Friend,391
Bar 20 Justice,392
Target for Today,393
The Great Gabbo,394
Sunset on the Desert,395
Winds of the Wasteland,396
The Kid Ranger,397
Sex Madness,398
Jungle Bride,399
The Courageous Avenger,400
"Come On, Tarzan",401
The Love Flower,402
Corregidor,403
Riders in the Sky,404
Dr. Kildare's Strange Case,405
A Strange Adventure,406
Bush Pilot,407
Western Gold,408
High Voltage,409
Colorado,410
The Panther's Claw,411
Sarumba,412
Broadway Limited,413
Fiesta,414
Stella Maris,415
The Big Wheel,416
Spirit of Youth,417
Breakfast in Hollywood,418
The Yellow Rose of Texas,419
Beyond the Purple Hills,420
Melody for Three,421
Rubber Tires,422
Hoppy Serves a Writ,423
The Old Barn Dance,424
Campus Knights,425
Lady from Chungking,426
Honeymoon Limited,427
The Woman I Lost,428
Combat America,429
Hillbilly Blitzkrieg,430
Lonely Wives,431
"A Boy, a Girl and a Dog",432
I Accuse My Parents,433
The Hurricane Express,434
Fangs of the Wild,435
